Link verification report
Generated: Mon Jun  1 09:56:53 PDT 2026

PASS 200  https://cannabis.ca.gov/
PASS 200  https://cannabis.ny.gov/
FAIL 403/403  https://cannabisnow.com/
PASS 200  https://cannabiswire.com/
FAIL 403/403  https://crsreports.congress.gov/product/pdf/R/R44782
PASS 200  https://greatergood.berkeley.edu/
FAIL 403/403  https://hempindustrydaily.com/
PASS 200  https://hightimes.com/
PASS 200  https://longevity.stanford.edu/
PASS 200  https://medlineplus.gov/
FAIL 403/403  https://mjbizdaily.com/
PASS 200  https://my.clevelandclinic.org/health
PASS 200  https://nida.nih.gov/research-topics/cannabis-marijuana
PASS 200  https://norml.org/
PASS 200  https://odphp.health.gov/
PASS 200  https://pubmed.ncbi.nlm.nih.gov/?term=cannabinoids
PASS 200  https://sbg.colorado.gov/med
PASS 200  https://www.acsm.org/
PASS 200  https://www.ams.usda.gov/rules-regulations/hemp
PASS 200  https://www.apa.org/topics
PASS 200  https://www.benzinga.com/cannabis
FAIL 403/403  https://www.cannabisbusinesstimes.com/
PASS 200  https://www.cdc.gov/
PASS 200  https://www.cdc.gov/cannabis/about/index.html
FAIL 403/403  https://www.dea.gov/drug-information/drug-policy
PASS 200  https://www.eatright.org/
PASS 200  https://www.everydayhealth.com/
PASS 200  https://www.fda.gov/news-events/public-health-focus/fda-regulation-cannabis-and-cannabis-derived-products-including-cannabidiol-cbd
FAIL 404/404  https://www.forbes.com/cannabis/
PASS 200  https://www.greenmarketreport.com/
PASS 200  https://www.health.harvard.edu/
PASS 200  https://www.healthline.com/
PASS 200  https://www.heart.org/en/healthy-living
FAIL 403/403  https://www.hhs.gov/
FAIL 403/403  https://www.hopkinsmedicine.org/health
PASS 200  https://www.leafly.com/news
PASS 200  https://www.marijuanamoment.net/
FAIL 403/403  https://www.mayoclinic.org/healthy-lifestyle
PASS 200  https://www.mindful.org/
PASS 200  https://www.nccih.nih.gov/health/cannabis-marijuana-and-cannabinoids-what-you-need-to-know
PASS 200  https://www.nia.nih.gov/health
FAIL 403/403  https://www.nih.gov/health-information
PASS 200  https://www.nytimes.com/section/well
PASS 200  https://www.projectcbd.org/
FAIL 404/404  https://www.self.com/wellness
PASS 200  https://www.sleepfoundation.org/
PASS 200  https://www.ucsfhealth.org/education
FAIL 403/403  https://www.verywellhealth.com/
FAIL 403/403  https://www.verywellmind.com/

TOTAL: 49  PASS: 35  FAIL: 14
